x	y	z
553676.057083	8709559.9941	0.0
553226.462791	8710113.78068	0.0
553962.361654	8709337.63677	0.0
553362.948021	8710034.59902	0.0
554387.659451	8709006.91315	0.0
553224.953269	8710044.05363	0.0
552990.27728	8710214.60554	0.0
554206.033465	8709083.696	0.0
554307.220808	8709037.9192	0.0
554263.026909	8709057.13764	0.0
554453.071461	8708977.51752	0.0
554357.418	8708910.80738	0.0
554431.199738	8708612.96958	0.0
553796.042703	8709461.18085	0.0
553262.348679	8710083.72304	0.0
553266.673303	8710081.93581	0.0
553219.29643	8710093.41435	0.0
552901.680861	8710253.99425	0.0
552899.173462	8710254.16189	0.0
552912.243546	8710247.96022	0.0
553364.035189	8710033.73782	0.0
553438.731995	8710023.51956	0.0
553595.195139	8709765.81407	0.0
553020.056123	8710205.58826	0.0
553725.14809	8709477.39763	0.0
553453.802808	8709970.95118	0.0
554395.642403	8708728.97724	0.0
553794.221729	8709421.05054	0.0
553941.054245	8709287.98956	0.0
554212.235221	8709083.8655	0.0
554405.257479	8709003.95718	0.0
552907.496164	8710255.96398	0.0
553663.565271	8709608.26698	0.0
554575.918395	8708543.23381	0.0
552772.57663	8710305.33084	0.0
552973.95045	8710262.61225	0.0
553474.943999	8709977.41076	0.0
553284.811498	8710075.57478	0.0
553686.339908	8709481.07557	0.0
554032.456505	8709197.22959	0.0
553709.041596	8709485.10828	0.0
553722.460257	8709474.77681	0.0
553755.050582	8709480.27432	0.0
553767.637178	8709453.13731	0.0
553895.0978	8709402.85149	0.0
553276.533868	8710084.19431	0.0
553690.784819	8709555.6483	0.0
554400.997437	8708879.16812	0.0
554549.228715	8708567.12217	0.0
554728.250396	8708495.04772	0.0
554434.964749	8708652.06979	0.0
552821.972746	8710268.14929	0.0
553008.582819	8710208.58359	0.0
553871.897526	8709333.10313	0.0
554713.838295	8708485.04541	0.0
554396.723033	8708644.32203	0.0
554723.765271	8708467.37521	0.0
553198.376915	8710096.24506	0.0
554691.556039	8708479.15784	0.0
554731.880848	8708472.88079	0.0
554519.724815	8708586.87926	0.0
554523.200056	8708587.97243	0.0
552989.794273	8710214.43793	0.0
554467.077788	8708941.71331	0.0
554640.687336	8708867.66189	0.0
553284.496089	8710067.39338	0.0
553257.043655	8710085.24828	0.0
552823.40399	8710269.921	0.0
553266.485521	8710082.09712	0.0
553251.193341	8710088.61765	0.0
554563.794452	8708904.79868	0.0
554121.856577	8709158.92545	0.0
553827.562999	8709372.30419	0.0
553762.929803	8709435.29734	0.0
553746.619542	8709439.2691	0.0
554359.286276	8708800.32932	0.0
554648.387994	8708667.92244	0.0
554640.091592	8708677.74711	0.0
553617.353151	8709710.4273	0.0
553052.225802	8710226.54109	0.0
552980.696027	8710218.4778	0.0
552961.221418	8710229.21797	0.0
552974.447498	8710225.26297	0.0
553047.021341	8710231.79532	0.0
553011.424087	8710217.38621	0.0
553083.392015	8710225.65976	0.0
553703.333579	8709519.47709	0.0
553039.667621	8710209.54889	0.0
553063.632053	8710208.39045	0.0
554640.717401	8708503.3974	0.0
553505.720338	8710001.84	0.0
553753.252051	8709501.48041	0.0
553506.415358	8709845.65959	0.0
553889.530805	8709313.56986	0.0
554139.699537	8709125.2696	0.0
554296.280399	8709080.75149	0.0
554377.263938	8708885.54606	0.0
553458.017871	8709947.86651	0.0
554532.583903	8708640.24904	0.0
553297.213781	8710081.31348	0.0
553232.81332	8710091.1097	0.0
553255.287697	8710087.23407	0.0
553384.91437	8710069.20323	0.0
553710.865931	8709509.83398	0.0
553768.111013	8709486.27049	0.0
554367.947194	8708912.97324	0.0
554584.512667	8708819.93259	0.0
553250.330235	8710089.0633	0.0
552690.718007	8710305.9867	0.0
553237.247233	8710090.53544	0.0
552808.887569	8710269.86812	0.0
552815.495965	8710269.03607	0.0
552788.680733	8710273.66388	0.0
552866.690402	8710260.32453	0.0
552809.309953	8710270.55041	0.0
553218.004794	8710093.32795	0.0
552939.752295	8710232.98038	0.0
553843.162696	8709330.82385	0.0
554088.086995	8709137.07654	0.0
553836.729939	8709333.72039	0.0
554098.109292	8709134.39453	0.0
553862.922164	8709323.18105	0.0
554095.603248	8709135.06508	0.0
554117.306407	8709125.23568	0.0
554114.757284	8709125.91987	0.0
553214.539891	8710094.07159	0.0
554101.262208	8709133.26149	0.0
554126.779421	8709118.03803	0.0
552876.881454	8710262.98407	0.0
554086.90438	8709139.17323	0.0
554089.546759	8709137.95111	0.0
554100.499243	8709132.66654	0.0
554091.262987	8709136.97709	0.0
554080.608615	8709141.51905	0.0
554132.887263	8709114.87926	0.0
554123.491165	8709119.58501	0.0
554099.000531	8709132.69896	0.0
553821.372274	8709340.65808	0.0
553026.94072	8710191.84826	0.0
554107.199591	8709129.41044	0.0
554146.937469	8709108.39032	0.0
554111.852893	8709127.39127	0.0
553857.221478	8709324.68278	0.0
554145.411896	8709109.32384	0.0
554143.752654	8709109.77499	0.0
554113.206323	8709126.00413	0.0
554147.071138	8709108.8727	0.0
554082.805484	8709140.52079	0.0
552813.503731	8710268.84112	0.0
554109.919022	8709127.78917	0.0
554108.516524	8709129.22625	0.0
553114.942484	8710148.83155	0.0
554519.696995	8708938.10896	0.0
554099.808664	8709133.47874	0.0
554583.500665	8708915.1579	0.0
554090.089617	8709137.45308	0.0
554149.363961	8709107.3647	0.0
553752.169921	8709481.92589	0.0
554089.662796	8709136.99675	0.0
554144.171294	8709109.82898	0.0
554156.445757	8709107.00564	0.0
553830.394173	8709338.35939	0.0
554092.191603	8709135.7286	0.0
554040.572177	8709183.50037	0.0
553042.249908	8710185.14946	0.0
553125.268707	8710144.59743	0.0
553548.511577	8709682.38745	0.0
552906.639636	8710256.99592	0.0
554223.448248	8709068.09688	0.0
554130.240127	8709117.61711	0.0
554549.949815	8708913.94209	0.0
554131.071071	8709115.21394	0.0
554072.964612	8709149.61675	0.0
553853.87921	8709325.8085	0.0
554245.271181	8709058.35508	0.0
553208.506875	8710094.98455	0.0
553063.838371	8710207.92443	0.0
553607.91603	8709605.20831	0.0
554055.108119	8709169.86455	0.0
553015.631384	8710200.86984	0.0
553016.894595	8710200.11724	0.0
554175.854732	8709116.80601	0.0
554146.041845	8709108.04264	0.0
554016.708964	8709287.27467	0.0
553837.607438	8709336.37724	0.0
554055.311586	8709174.24545	0.0
554303.391833	8708991.15334	0.0
553922.614926	8709295.60833	0.0
553617.619209	8709588.10657	0.0
553371.746385	8710023.32266	0.0
553176.302857	8710100.84714	0.0
554137.658537	8709112.75763	0.0
553777.407632	8709765.07211	0.0
552988.772292	8710213.50886	0.0
553009.063729	8710197.8487	0.0
553262.372236	8710078.99145	0.0
553444.138278	8710059.71957	0.0
553377.123611	8710078.96557	0.0
553218.594846	8710093.6074	0.0
553346.009659	8710066.25127	0.0
553196.297479	8710097.16284	0.0
554137.759276	8709113.07176	0.0
553297.809564	8710070.80214	0.0
553460.776576	8710049.34892	0.0
553591.504473	8709828.08296	0.0
553585.521873	8709807.9396	0.0
553850.416368	8709332.98527	0.0
553883.839174	8709318.78003	0.0
554295.864283	8709007.78784	0.0
553188.859087	8710098.00617	0.0
552817.694564	8710268.58392	0.0
552867.711933	8710262.84252	0.0
554344.532282	8708796.22656	0.0
553291.287383	8710079.16202	0.0
554105.324939	8709152.29413	0.0
552786.668023	8710264.79687	0.0
554104.974706	8709152.8049	0.0
552818.764875	8710268.23974	0.0
554161.142461	8709114.23468	0.0
554160.123243	8709102.59589	0.0
554166.552624	8709099.23893	0.0
553420.180343	8710010.80152	0.0
552812.960199	8710269.47821	0.0
553021.754873	8710202.56964	0.0
553744.440485	8709481.54005	0.0
554106.597331	8709129.69138	0.0
553407.03148	8710005.49638	0.0
552782.18004	8710275.79275	0.0
553858.874593	8709323.82767	0.0
554486.017367	8708658.3808	0.0
553835.212399	8709334.13606	0.0
553197.224025	8710097.02594	0.0
554331.171112	8709027.07769	0.0
554342.994741	8709019.7517	0.0
554373.67856	8709005.64256	0.0
553187.282484	8710099.31083	0.0
553033.011122	8710196.7954	0.0
554318.492831	8708849.62793	0.0
553840.77673	8709343.89088	0.0
553866.697984	8709320.4755	0.0
554429.500546	8708644.23013	0.0
554376.785595	8708755.74535	0.0
553880.059506	8709315.30302	0.0
553838.905245	8709337.54965	0.0
553864.112679	8709321.04633	0.0
553545.807336	8709827.68057	0.0
553849.187861	8709327.32486	0.0
554429.811203	8708686.71342	0.0
554575.242363	8708730.8668	0.0
554031.156894	8709259.67287	0.0
553985.180139	8709274.04845	0.0
553997.541762	8709293.03949	0.0
553890.094852	8709331.15532	0.0
553807.678179	8709359.9392	0.0
554376.711738	8708713.04569	0.0
