x	y	z	u	v
482480.29	7114301.21	969.80	3673	1200
482610.20	7114302.35	958.54	3393	1232	
482706.75	7114301.85	973.27	3219	1210
482935.94	7114262.10	989.94	2904	1201
483113.11	7114309.32	963.62 	2588	1272
483030.33	7114786.57	878.88	1658	1470
482736.77	7114520.49	908.55	2682	1391	
482456.86	7114556.12	866.41	3171	1540
482309.70	7114885.17	715.05	2421	2342
482641.53	7114867.92	762.31	1827	1921
482864.04	7115061.67	762.32	995	1847
482547.34	7115154.54	702.92	809	2282
482402.63	7114658.34	827.91	3010	1696
482986.05	7114845.90	860.61	1543	1522
