date_utm2,calving_area,calving_style,location_x,location_y
42223.8103,headland,icefall,3039.218,1770.559
42223.81491,plume1,waterline,976.657,2335.198
42223.81528,headland,sheet,3489.674,1543.628
42223.819,plume2,icefall,1269.999,2160.678
42223.81903,plume2,stack,4004.034,1285.102
42223.81958,plume1,subaqueous,1352.563,2312.899
42223.82063,near,waterline,583.04,2687.379
42223.82069,plume2,waterline,4010.5,1376.934
42223.82083,plume2,waterline,4016.107,1324.107
42223.82111,plume2,waterline,4016.118,1346.653
42223.8213,plume2,stack,4007.029,1254.203
42223.82157,plume2,waterline,4334.843,1285.727
42223.82192,far,waterline,5092.804,1219.454
42223.82428,headland,icefall,3262.323,1667.91
42223.82625,plume1,waterline,1106.72,2283.879
42223.82727,plume1,waterline,1112.407,2278.397
42223.82845,plume1,icefall,1093.108,2336.487
42223.82852,near,waterline,396.688,2845.702
42223.83025,near,waterline,397.304,2850.011
42223.83046,near,icefall,428.596,2825.361
42223.83139,plume1,icefall,1273.352,2159.29
42223.83215,plume1,icefall,1257.303,2082.655
42223.83289,headland,waterline,2279.845,1878.712
42223.83847,near,waterline,615.836,2639.482
42223.84076,headland,waterline,3299.307,1718.654
42223.84125,plume1,waterline,1497.14,2053.58
42223.84352,far,icefall,4815.343,1247.356
42223.84449,headland,icefall,3417.898,1661.296
42223.84789,headland,waterline,3696.244,1547.344
42223.84894,plume2,icefall,4001.339,1374.014
42223.84903,plume2,icefall,3989.931,1277.287
42223.85028,near,waterline,379.705,2837.093
42223.86278,headland,icefall,2859.319,1790.215
42223.86762,far,icefall,5068.032,1157.455
42223.86949,near,sheet,130.273,3105.345
42223.87611,near,waterline,293.428,2734.027
42223.87921,plume1,waterline,1446.333,2035.877
42223.88262,plume1,waterline,1129.785,2256.246
42223.88743,headland,subaqueous,3341.026,1746.383
42223.89442,headland,icefall,3880.91,1481.552
42223.89581,headland,icefall,3292.083,1731.362
42223.90852,headland,icefall,3313.446,1719.962
42223.90942,headland,stack,3245.727,1698.873
42223.90949,headland,stack,3333.031,1685.056
42223.90956,headland,sheet,3345.264,1594.719
42223.91021,plume1,icefall,1091.781,2268.237
42223.92005,headland,icefall,3036.533,1759.093
42223.92785,far,waterline,4368.258,1263.515
42223.93,far,icefall,5042.335,1169.71
42223.93262,far,icefall,4978.386,1099.898
42223.93535,far,icefall,4976.516,1222.545
42223.94394,near,icefall,357.919,2991.639
42223.95039,near,icefall,606.262,2657.559
42223.95118,headland,icefall,3633.51,1596.147
42223.95414,far,sheet,5024.631,1103.697
42223.96104,far,waterline,5056.991,1236.763
42223.96153,far,icefall,5056.717,1098.646
42223.96157,far,icefall,1096.514,2362.219
42223.96236,far,icefall,5071.542,1110.574
42223.96248,far,sheet,5031.017,1096.502
42223.96465,far,icefall,5031.78,1182.76
42223.96535,far,icefall,5023.62,1181.594
42223.97035,near,icefall,584.439,2688.04
42223.97234,plume2,icefall,4094.709,1244.171
42223.97479,plume2,icefall,4086.747,1169.105
42223.97646,plume1,subaqueous,1172.877,2253.925
42223.98056,plume1,waterline,1103.291,2290.357
42223.98116,near,icefall,344.826,2989.94
42223.98213,plume1,waterline,1111.715,2278.666
42223.98359,plume1,waterline,1090.538,2298.125
42223.98924,plume2,icefall,4077.766,1201.946
42224.00278,headland,sheet,3882.934,1429.14
42224.00799,headland,waterline,3553.262,1630.736
42224.01958,headland,waterline,3408.44,1684.664
42224.02139,headland,waterline,3416.764,1696.317
42224.02917,far,icefall,4660.906,1271.05
42224.03104,far,icefall,4627.756,1144.906
42224.07685,far,icefall,4612.227,1148.887
42224.1022,headland,waterline,2491.383,1848.199
42224.11014,near,icefall,465.498,2602.398
42224.12345,near,icefall,566.189,2703.592
42224.12428,near,icefall,513.327,2738.331
42224.12507,near,icefall,528.43,2716.179
42224.12567,near,waterline,437.305,2611.964
42224.12583,near,waterline,550.079,2657.275
42224.12611,near,sheet,449.891,2558.597
42224.12931,headland,waterline,3163.965,1742.521
42224.1325,near,icefall,577.119,2613.005
42224.13282,near,icefall,566.585,2578.771
42224.13569,far,icefall,5080.47,1130.404
42224.1391,plume1,sheet,1302.989,2014.459
42224.1397,headland,icefall,3165.57,1704.352
42224.1522,headland,subaqueous,2026.893,1972.584
42224.16917,headland,icefall,3678.922,1582.03
42224.19007,headland,waterline,3968.754,1415.176
42224.20111,headland,icefall,3897.283,1334.733
42224.20563,plume2,waterline,4382.506,1274.181
42224.21903,plume1,waterline,1602.959,2043.329
42224.25164,far,icefall,4865.425,1183.906
42224.26275,plume1,icefall,1089.053,2244.49
42224.26438,plume1,icefall,1093.535,2319.943
42224.28229,plume1,waterline,1094.282,2293.049
42224.28542,plume1,sheet,1077.1,2148.865
42224.2947,headland,waterline,3191.696,1735.226
42224.31609,headland,waterline,3204.282,1691.351
42224.32845,plume2,icefall,4313.63,1281.543
42224.32907,plume2,icefall,4292.149,1184.556
42224.33074,plume1,sheet,1088.93,2299.252
42224.33678,near,NaN,177.343,3272.83
42224.33694,near,NaN,1092.655,2314.666
42224.34727,near,waterline,355.464,3016.511
42224.34778,near,waterline,356.486,3003.882
42224.35549,near,waterline,343.544,3056.332
42224.36007,near,waterline,379.366,2908.189
42224.3613,near,waterline,350.484,3016.087
42224.36222,plume1,NaN,1094.732,2337.987
42224.36299,near,icefall,505.273,2773.749
42224.36354,headland,waterline,3684.015,1613.297
42224.37139,plume2,waterline,4003.418,1443.005
42224.37465,headland,waterline,3682.886,1617.84
42224.37604,plume2,waterline,3997.868,1437.454
42224.37785,headland,waterline,3682.886,1599.802
42224.37824,plume2,waterline,3999.256,1438.842
42224.37838,plume2,waterline,4000.643,1426.354
42224.37931,plume2,waterline,4002.031,1427.741
42224.3797,plume1,waterline,1093.799,2342.321
42224.38053,plume2,waterline,3997.099,1435.673
42224.38137,plume2,waterline,4010.813,1420.536
42224.38164,near,waterline,354.516,2892.052
42224.38167,plume2,NaN,3998.13,1443.914
42224.38241,plume2,NaN,3998.386,1442.377
