x	y	z
553676.057083109	8709559.99409535	0.0
553226.4627907432	8710113.780677337	0.0
553962.3616543091	8709337.636774756	0.0
553362.9480207991	8710034.59901852	0.0
554387.6594513813	8709006.913148727	0.0
553224.9532685856	8710044.053626245	0.0
552990.277280391	8710214.605535148	0.0
554206.0334654266	8709083.696001897	0.0
554307.2208082709	8709037.919200437	0.0
554263.026909478	8709057.137640312	0.0
554453.071460949	8708977.517521054	0.0
554357.4179995316	8708910.807377135	0.0
554431.1997380689	8708612.969579082	0.0
553796.0427025844	8709461.180851797	0.0
553262.3486792794	8710083.723039467	0.0
553266.6733033537	8710081.935806617	0.0
553219.2964302967	8710093.414350288	0.0
552901.6808606766	8710253.994247764	0.0
552899.1734619837	8710254.161888812	0.0
552912.2435462945	8710247.960224776	0.0
553364.0351892175	8710033.737820404	0.0
553438.7319954231	8710023.519556735	0.0
553595.1951390514	8709765.814066118	0.0
553020.0561227973	8710205.588264106	0.0
553725.1480903206	8709477.397633828	0.0
553453.802808143	8709970.951177867	0.0
554395.6424027396	8708728.977240661	0.0
553794.221729402	8709421.05053782	0.0
553941.0542452822	8709287.989559565	0.0
554212.2352211976	8709083.865502324	0.0
554405.2574788139	8709003.957182046	0.0
552907.4961637803	8710255.96398126	0.0
553663.565270605	8709608.266978038	0.0
554575.918395347	8708543.233814007	0.0
552772.5766297731	8710305.330842862	0.0
552973.9504495218	8710262.612252502	0.0
553474.9439989612	8709977.41075923	0.0
553284.811498362	8710075.574779969	0.0
553686.3399083044	8709481.0755658	0.0
554032.4565048286	8709197.229585666	0.0
553709.0415963432	8709485.1082752	0.0
553722.4602570019	8709474.77681053	0.0
553755.0505823735	8709480.274315957	0.0
553767.6371782575	8709453.13730956	0.0
553895.0977995339	8709402.851487163	0.0
553276.5338677387	8710084.194305506	0.0
553690.7848192551	8709555.648299202	0.0
554400.9974374408	8708879.168118538	0.0
554549.2287146035	8708567.122170314	0.0
554728.2503964991	8708495.047718484	0.0
554434.9647493004	8708652.06979339	0.0
552821.9727459549	8710268.149291007	0.0
553008.5828191387	8710208.583585175	0.0
553871.89752581	8709333.10312876	0.0
554713.8382954071	8708485.04541007	0.0
554396.7230325306	8708644.322025094	0.0
554723.7652713034	8708467.375214908	0.0
553198.3769150604	8710096.245055607	0.0
554691.556039172	8708479.157842379	0.0
554731.8808479063	8708472.880792197	0.0
554519.7248151442	8708586.879260855	0.0
554523.2000560557	8708587.97242544	0.0
552989.794272843	8710214.437932141	0.0
554467.0777880131	8708941.71330704	0.0
554640.687336266	8708867.661889242	0.0
553284.4960887687	8710067.393376265	0.0
553257.0436545749	8710085.248276029	0.0
552823.4039899898	8710269.921004351	0.0
553266.4855211047	8710082.097118031	0.0
553251.1933407871	8710088.617649946	0.0
554563.7944523634	8708904.798675587	0.0
554121.8565765162	8709158.925448919	0.0
553827.5629986457	8709372.304190498	0.0
553762.9298034293	8709435.297335112	0.0
553746.6195423488	8709439.269095879	0.0
554359.2862755896	8708800.329322763	0.0
554648.3879935346	8708667.922442004	0.0
554640.0915924842	8708677.747111268	0.0
553617.3531509961	8709710.427302066	0.0
553052.2258017291	8710226.541087747	0.0
552980.6960270633	8710218.47780155	0.0
552961.2214177054	8710229.217968268	0.0
552974.4474979925	8710225.262967387	0.0
553047.0213405795	8710231.79531984	0.0
553011.4240872189	8710217.386205891	0.0
553083.3920152641	8710225.659757195	0.0
553703.3335794536	8709519.477094159	0.0
553039.6676214024	8710209.54889475	0.0
553063.632052934	8710208.390445625	0.0
554640.71740059	8708503.397400377	0.0
553505.7203380251	8710001.839996116	0.0
553753.2520509221	8709501.48041171	0.0
553506.4153582255	8709845.659588259	0.0
553889.5308052932	8709313.569864962	0.0
554139.6995365705	8709125.269598844	0.0
554296.2803986071	8709080.751490956	0.0
554377.2639382265	8708885.54606251	0.0
553458.017870583	8709947.866506346	0.0
554532.5839027347	8708640.249039205	0.0
553297.2137805404	8710081.313477056	0.0
553232.813319714	8710091.109697353	0.0
553255.2876971611	8710087.234065864	0.0
553384.9143698058	8710069.20323435	0.0
553710.8659306363	8709509.833982188	0.0
553768.1110128448	8709486.270487295	0.0
554367.9471943801	8708912.973235037	0.0
554584.5126665807	8708819.932591181	0.0
553250.3302349024	8710089.063304856	0.0
552690.7180065562	8710305.9866995	0.0
553237.2472334724	8710090.535437047	0.0
552808.8875689267	8710269.868120259	0.0
552815.4959649832	8710269.036074327	0.0
552788.6807326009	8710273.663875015	0.0
552866.6904019831	8710260.324530423	0.0
552809.3099528193	8710270.550414784	0.0
553218.0047940216	8710093.327953875	0.0
552939.7522954519	8710232.980384862	0.0
553843.1626958863	8709330.82385153	0.0
554088.0869950391	8709137.076540468	0.0
553836.7299387584	8709333.720388351	0.0
554098.109291927	8709134.394526888	0.0
553862.9221635058	8709323.181052495	0.0
554095.6032478276	8709135.065084193	0.0
554117.3064065344	8709125.235679168	0.0
554114.7572838749	8709125.919870991	0.0
553214.5398911089	8710094.071588859	0.0
554101.2622078812	8709133.261485973	0.0
554126.7794211784	8709118.038031094	0.0
552876.8814544827	8710262.984066475	0.0
554086.9043802029	8709139.173230276	0.0
554089.5467590446	8709137.951106887	0.0
