Dates	Times	ING Stage DCP-raw
7/12/2019	3:00:00	1.53
7/12/2019	3:15:00	1.53
7/12/2019	3:30:00	1.54
7/12/2019	3:45:00	1.57
7/12/2019	4:00:00	 
7/12/2019	4:15:00	1.55
7/12/2019	4:30:00	1.55
7/12/2019	4:45:00	1.54
7/12/2019	5:00:00	1.52
7/12/2019	5:15:00	1.51
7/12/2019	5:30:00	1.51
7/12/2019	5:45:00	1.48
7/12/2019	6:00:00	1.46
7/12/2019	6:15:00	1.48
7/12/2019	6:30:00	1.46
7/12/2019	6:45:00	1.45
7/12/2019	7:00:00	 
7/12/2019	7:15:00	1.42
7/12/2019	7:30:00	1.39
7/12/2019	7:45:00	1.37
7/12/2019	8:00:00	1.36
7/12/2019	8:15:00	1.34
7/12/2019	8:30:00	1.33
7/12/2019	8:45:00	1.33
7/12/2019	9:00:00	1.29
7/12/2019	9:15:00	1.28
7/12/2019	9:30:00	1.25
7/12/2019	9:45:00	1.25
7/12/2019	10:00:00	1.21
7/12/2019	10:15:00	1.22
7/12/2019	10:30:00	1.19
7/12/2019	10:45:00	1.19
7/12/2019	11:00:00	 
7/12/2019	11:15:00	1.17
7/12/2019	11:30:00	1.16
7/12/2019	11:45:00	1.12
7/12/2019	12:00:00	1.12
7/12/2019	12:15:00	1.10
7/12/2019	12:30:00	1.10
7/12/2019	12:45:00	1.09
7/12/2019	13:00:00	1.08
7/12/2019	13:15:00	1.07
7/12/2019	13:30:00	1.05
7/12/2019	13:45:00	1.04
7/12/2019	14:00:00	 
7/12/2019	14:15:00	1.04
7/12/2019	14:30:00	1.03
7/12/2019	14:45:00	1.02
7/12/2019	15:00:00	1.03
7/12/2019	15:15:00	1.03
7/12/2019	15:30:00	1.02
7/12/2019	15:45:00	1.04
7/12/2019	16:00:00	1.03
7/12/2019	16:15:00	1.04
7/12/2019	16:30:00	1.04
7/12/2019	16:45:00	1.05
7/12/2019	17:00:00	1.06
7/12/2019	17:15:00	1.09
7/12/2019	17:30:00	1.08
7/12/2019	17:45:00	1.12
7/12/2019	18:00:00	1.13
7/12/2019	18:15:00	1.16
7/12/2019	18:30:00	1.19
7/12/2019	18:45:00	1.24
7/12/2019	19:00:00	 
7/12/2019	19:15:00	1.31
7/12/2019	19:30:00	1.37
7/12/2019	19:45:00	1.40
7/12/2019	20:00:00	1.46
7/12/2019	20:15:00	1.51
7/12/2019	20:30:00	1.55
7/12/2019	20:45:00	1.61
7/12/2019	21:00:00	 
7/12/2019	21:15:00	1.70
7/12/2019	21:30:00	1.75
7/12/2019	21:45:00	1.77
7/12/2019	22:00:00	1.81
7/12/2019	22:15:00	1.84
7/12/2019	22:30:00	1.87
7/12/2019	22:45:00	1.93
7/12/2019	23:00:00	1.99
7/12/2019	23:15:00	2.04
7/12/2019	23:30:00	2.02
7/12/2019	23:45:00	2.07
7/13/2019	0:00:00	2.09
7/13/2019	0:15:00	2.09
7/13/2019	0:30:00	2.12
7/13/2019	0:45:00	2.13
7/13/2019	1:00:00	2.13
7/13/2019	1:15:00	2.11
7/13/2019	1:30:00	2.14
7/13/2019	1:45:00	2.13
7/13/2019	2:00:00	2.15
7/13/2019	2:15:00	2.13
7/13/2019	2:30:00	2.10
7/13/2019	2:45:00	2.05
7/13/2019	3:00:00	2.07
7/13/2019	3:15:00	2.07
7/13/2019	3:30:00	2.01
7/13/2019	3:45:00	2.00
7/13/2019	4:00:00	 
7/13/2019	4:15:00	1.95
7/13/2019	4:30:00	1.93
7/13/2019	4:45:00	1.94
7/13/2019	5:00:00	1.91
7/13/2019	5:15:00	1.87
7/13/2019	5:30:00	1.85
7/13/2019	5:45:00	1.82
7/13/2019	6:00:00	 
7/13/2019	6:15:00	1.79
7/13/2019	6:30:00	1.74
7/13/2019	6:45:00	1.69
7/13/2019	7:00:00	1.69
7/13/2019	7:15:00	1.65
7/13/2019	7:30:00	1.64
7/13/2019	7:45:00	1.58
7/13/2019	8:00:00	 
7/13/2019	8:15:00	1.54
7/13/2019	8:30:00	1.53
7/13/2019	8:45:00	1.51
7/13/2019	9:00:00	1.47
7/13/2019	9:15:00	1.46
7/13/2019	9:30:00	1.44
7/13/2019	9:45:00	1.38
7/13/2019	10:00:00	1.37
7/13/2019	10:15:00	1.36
7/13/2019	10:30:00	1.31
7/13/2019	10:45:00	1.31
7/13/2019	11:00:00	1.29
7/13/2019	11:15:00	1.27
7/13/2019	11:30:00	1.25
7/13/2019	11:45:00	1.22
7/13/2019	12:00:00	1.21
7/13/2019	12:15:00	1.19
7/13/2019	12:30:00	1.17
7/13/2019	12:45:00	1.16
7/13/2019	13:00:00	 
7/13/2019	13:15:00	1.12
7/13/2019	13:30:00	1.12
7/13/2019	13:45:00	1.13
7/13/2019	14:00:00	 
7/13/2019	14:15:00	1.12
7/13/2019	14:30:00	1.11
7/13/2019	14:45:00	1.12
7/13/2019	15:00:00	1.12
7/13/2019	15:15:00	1.13
7/13/2019	15:30:00	1.13
7/13/2019	15:45:00	1.16
7/13/2019	16:00:00	1.18
7/13/2019	16:15:00	1.20
7/13/2019	16:30:00	1.23
7/13/2019	16:45:00	1.27
7/13/2019	17:00:00	1.29
7/13/2019	17:15:00	1.32
