,key_0,choice,path,maxsum,lineloc,ING Stage DCP-raw,stage_filtered
0,7/12/2019 3:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2019\INGLEFIELD_CAM_StarDot1_20190712_030000.jpg,295,295,1.53,1.53
1,7/12/2019 6:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2019\INGLEFIELD_CAM_StarDot1_20190712_060000.jpg,262,262,1.399090909,1.399090909
2,7/12/2019 9:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2019\INGLEFIELD_CAM_StarDot1_20190712_090000.jpg,266,266,1.211818182,1.211818182
3,7/12/2019 12:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2019\INGLEFIELD_CAM_StarDot1_20190712_120000.jpg,269,269,1.067272727,1.067272727
4,7/12/2019 15:00,0,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2019\INGLEFIELD_CAM_StarDot1_20190712_150000.jpg,84,295,1.0525,1.0525
5,7/12/2019 18:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2019\INGLEFIELD_CAM_StarDot1_20190712_180000.jpg,309,309,1.357272727,1.357272727
6,7/12/2019 21:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2019\INGLEFIELD_CAM_StarDot1_20190712_210000.jpg,274,274,1.89,1.89
7,7/13/2019 0:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2019\INGLEFIELD_CAM_StarDot1_20190713_000000.jpg,275,275,2.114166667,2.114166667
8,7/13/2019 3:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2019\INGLEFIELD_CAM_StarDot1_20190713_030000.jpg,277,277,1.947272727,1.947272727
9,7/13/2019 6:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2019\INGLEFIELD_CAM_StarDot1_20190713_060000.jpg,255,255,1.636,1.636
10,7/13/2019 9:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2019\INGLEFIELD_CAM_StarDot1_20190713_090000.jpg,263,263,1.344166667,1.344166667
11,7/13/2019 12:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2019\INGLEFIELD_CAM_StarDot1_20190713_120000.jpg,269,269,1.145,1.145
12,7/13/2019 15:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2019\INGLEFIELD_CAM_StarDot1_20190713_150000.jpg,271,271,1.23,1.23
13,7/13/2019 18:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2019\INGLEFIELD_CAM_StarDot1_20190713_180000.jpg,292,292,1.687,1.687
14,7/13/2019 21:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2019\INGLEFIELD_CAM_StarDot1_20190713_210000.jpg,268,268,2.1025,2.1025
15,7/14/2019 0:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2019\INGLEFIELD_CAM_StarDot1_20190714_000000.jpg,262,262,2.222,2.222
16,7/14/2019 3:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2019\INGLEFIELD_CAM_StarDot1_20190714_030000.jpg,274,274,2.117272727,2.117272727
17,7/14/2019 6:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2019\INGLEFIELD_CAM_StarDot1_20190714_060000.jpg,256,256,1.7675,1.7675
18,7/14/2019 9:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2019\INGLEFIELD_CAM_StarDot1_20190714_090000.jpg,290,290,1.448,1.448
19,7/14/2019 12:00,0,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2019\INGLEFIELD_CAM_StarDot1_20190714_120000.jpg,84,295,1.29,1.29
20,7/14/2019 15:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2019\INGLEFIELD_CAM_StarDot1_20190714_150000.jpg,264,264,1.549,1.549
21,7/14/2019 18:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2019\INGLEFIELD_CAM_StarDot1_20190714_180000.jpg,281,281,2.008181818,2.008181818
