,key_0,choice,path,maxsum,lineloc,ING Stage DCP-raw,stage_filtered
0,2021-06-08 00:00:00,0.0,C:///Users/sgoldst3/Inglefield/PyTrx/Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2021\INGLEFIELD_CAM_StarDot1_20210608_000000.jpg,289.0,430.0,,
1,2021-06-08 03:00:00,0.0,C:///Users/sgoldst3/Inglefield/PyTrx/Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2021\INGLEFIELD_CAM_StarDot1_20210608_030000.jpg,374.0,430.0,,
2,2021-06-08 06:00:00,0.0,C:///Users/sgoldst3/Inglefield/PyTrx/Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2021\INGLEFIELD_CAM_StarDot1_20210608_060000.jpg,375.0,425.0,,
3,2021-06-08 09:00:00,0.0,C:///Users/sgoldst3/Inglefield/PyTrx/Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2021\INGLEFIELD_CAM_StarDot1_20210608_090000.jpg,376.0,425.0,,
4,2021-06-08 12:00:00,0.0,C:///Users/sgoldst3/Inglefield/PyTrx/Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2021\INGLEFIELD_CAM_StarDot1_20210608_120000.jpg,375.0,430.0,,
5,2021-06-08 15:00:00,,,,,,
6,2021-06-08 18:00:00,0.0,C:///Users/sgoldst3/Inglefield/PyTrx/Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2021\INGLEFIELD_CAM_StarDot1_20210608_180000.jpg,221.0,430.0,,
7,2021-06-08 21:00:00,0.0,C:///Users/sgoldst3/Inglefield/PyTrx/Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2021\INGLEFIELD_CAM_StarDot1_20210608_210000.jpg,290.0,410.0,,
8,2021-06-09 00:00:00,0.0,C:///Users/sgoldst3/Inglefield/PyTrx/Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2021\INGLEFIELD_CAM_StarDot1_20210609_000000.jpg,290.0,415.0,,
9,2021-06-09 03:00:00,0.0,C:///Users/sgoldst3/Inglefield/PyTrx/Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2021\INGLEFIELD_CAM_StarDot1_20210609_030000.jpg,177.0,415.0,,
10,2021-06-09 06:00:00,2.0,C:///Users/sgoldst3/Inglefield/PyTrx/Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2021\INGLEFIELD_CAM_StarDot1_20210609_060000.jpg,368.0,408.0,,
