,x,y,z
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,500151.3854093882,8724248.951382522,335.36877134544665
27,500153.34019947366,8724250.483614083,335.1568018110393
28,500156.2748729853,8724252.811014904,334.8890632278956
29,500156.684433149,8724253.213900309,334.77675490508403
30,500157.2807119541,8724253.787023371,334.65972570594715
31,500157.5287431877,8724254.059210896,334.5553460563487
32,500157.8008140671,8724254.352369318,334.45096797194964
33,500158.0263875376,8724254.588403452,334.3482940371919
34,500158.28578656435,8724254.856669454,334.2448461849681
35,500158.4799785945,8724255.050528014,334.14327507039303
36,500158.684135804,8724255.255329423,334.04188200985834
37,500158.9014152217,8724255.474523906,333.94064128282963
38,500159.4171626986,8724256.019172477,333.8344309574409
39,500159.4098304082,8724255.993607625,333.7381581979299
40,500159.8465956285,8724256.45246909,333.6349500757401
41,500160.23686545517,8724256.860860925,333.5330398091688
42,500160.3526362891,8724256.969737688,333.4358373137121
43,500160.41005673376,8724257.014983658,333.33959083828904
44,500160.49301360844,8724257.088116864,333.24313237641843
45,500160.5815058211,8724257.167312302,333.14674824987816
46,500160.80337210244,8724257.392172465,333.04926388494624
47,500161.042212788,8724257.635692554,332.95208854255515
48,500161.21034600504,8724257.80204925,332.85589512700875
49,500161.431348118,8724258.02621421,332.7597041896121
50,500161.55891107867,8724258.148329198,332.6644123509022
51,500161.80948214687,8724258.404980063,332.56890040289124
52,500161.96782697755,8724258.560903654,332.4741296053811
53,500162.0786888575,8724258.664909095,332.3797347573705
54,500162.18011496,8724258.758659221,332.2855122318905
55,500162.3959308916,8724258.977573333,332.1915704802635
56,500162.590946391,8724259.17380807,332.0980356617443
57,500162.7232197297,8724259.301468063,332.00466599249216
58,500162.9268304255,8724259.50723601,331.9118577027929
59,500163.14925077936,8724259.733672682,331.81956557645657
60,500163.26903315133,8724259.847808274,331.7270618532374
61,500163.3313515007,8724259.89904191,331.634287275007
62,500163.4881982286,8724260.053847471,331.54247069232525
63,500163.63503006665,8724260.197725078,331.4508361069661
64,500163.73220995686,8724260.287248751,331.3589345545679
65,500163.8199395166,8724260.366448425,331.26709416937194
66,500163.95741801313,8724260.500197403,331.17605615095806
67,500164.10613040265,8724260.646298552,331.0854513302953
68,500164.1846765927,8724260.71553731,330.9940194801782
69,500164.34815084917,8724260.877965864,330.90412445344145
70,500164.45666797744,8724260.980142422,330.8135734643008
71,500164.613768022,8724261.135649778,330.7241455684633
72,500164.7698140611,8724261.290075885,330.63500357951807
73,500164.87548487214,8724261.389254164,330.54507046715753
74,500165.04974079784,8724261.56371937,330.456886710768
75,500165.22112787724,8724261.73513946,330.36897110119247
