datetime,ING Stage DCP-raw
2019-07-12 03:00:00,1.53
2019-07-12 06:00:00,1.46
2019-07-12 09:00:00,1.29
2019-07-12 12:00:00,1.12
2019-07-12 15:00:00,1.03
2019-07-12 18:00:00,1.13
2019-07-12 21:00:00,
2019-07-13 00:00:00,2.09
2019-07-13 03:00:00,2.07
2019-07-13 06:00:00,
2019-07-13 09:00:00,1.47
2019-07-13 12:00:00,1.21
2019-07-13 15:00:00,1.12
2019-07-13 18:00:00,
2019-07-13 21:00:00,1.94
2019-07-14 00:00:00,
2019-07-14 03:00:00,2.2
2019-07-14 06:00:00,1.91
2019-07-14 09:00:00,
2019-07-14 12:00:00,1.32
2019-07-14 15:00:00,
2019-07-14 18:00:00,
2019-07-14 21:00:00,2.31
2019-07-15 00:00:00,2.39
2019-07-15 03:00:00,2.16
2019-07-15 06:00:00,1.88
2019-07-15 09:00:00,
2019-07-15 12:00:00,
2019-07-15 15:00:00,
2019-07-15 18:00:00,1.65
2019-07-15 21:00:00,2.11
2019-07-16 00:00:00,2.12
2019-07-16 03:00:00,1.94
2019-07-16 06:00:00,1.64
2019-07-16 09:00:00,
2019-07-16 12:00:00,1.17
2019-07-16 15:00:00,1.12
2019-07-16 18:00:00,
2019-07-16 21:00:00,1.75
2019-07-17 00:00:00,2.11
2019-07-17 03:00:00,2.12
2019-07-17 06:00:00,
2019-07-17 09:00:00,1.37
2019-07-17 12:00:00,
2019-07-17 15:00:00,
2019-07-17 18:00:00,0.84
2019-07-17 21:00:00,1.24
2019-07-18 00:00:00,1.69
2019-07-18 03:00:00,1.87
2019-07-18 06:00:00,1.7
2019-07-18 09:00:00,1.41
2019-07-18 12:00:00,
2019-07-18 15:00:00,
2019-07-18 18:00:00,0.84
2019-07-18 21:00:00,1.04
2019-07-19 00:00:00,
2019-07-19 03:00:00,1.36
2019-07-19 06:00:00,1.33
2019-07-19 09:00:00,1.14
2019-07-19 12:00:00,0.91
2019-07-19 15:00:00,0.73
2019-07-19 18:00:00,0.66
