,key_0,choice,path,maxsum,lineloc,lineadjust,ING Stage DCP-raw,stage_filtered
0,6/21/2020 18:00,0,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200621_180000.jpg,705,375,355,0.01,
1,6/21/2020 21:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200621_210000.jpg,350,350,350,,
2,6/22/2020 0:00,,,,,,,
3,6/22/2020 3:00,0,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200622_030000.jpg,704,365,345,0.18,0.27
4,6/22/2020 6:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200622_060000.jpg,294,334,324,0.36,0.365833333
5,6/22/2020 9:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200622_090000.jpg,317,317,317,0.35,0.310909091
6,6/22/2020 12:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200622_120000.jpg,296,336,326,0.26,0.222727273
7,6/22/2020 15:00,0,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200622_150000.jpg,83,360,340,0.18,0.144545455
8,6/22/2020 18:00,0,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200622_180000.jpg,74,355,335,0.09,0.071
9,6/22/2020 21:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200622_210000.jpg,334,334,334,,
10,6/23/2020 0:00,,,,,,,
11,6/23/2020 3:00,0,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200623_030000.jpg,100,365,345,0.06,
12,6/23/2020 6:00,0,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200623_060000.jpg,628,365,345,0.06,
13,6/23/2020 9:00,0,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200623_090000.jpg,682,365,345,0.06,
14,6/23/2020 12:00,0,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200623_120000.jpg,260,365,345,0.06,
15,6/23/2020 15:00,0,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200623_150000.jpg,260,365,345,,
16,6/23/2020 18:00,0,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200623_180000.jpg,704,365,345,0.06,
17,6/23/2020 21:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200623_210000.jpg,338,338,338,,
18,6/24/2020 0:00,0,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200624_000000.jpg,675,370,350,,
19,6/24/2020 3:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200624_030000.jpg,291,331,321,0.06,
20,6/24/2020 6:00,0,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200624_060000.jpg,281,370,350,0.07,
21,6/24/2020 9:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200624_090000.jpg,301,341,331,0.07,
22,6/24/2020 12:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200624_120000.jpg,306,346,336,0.06,
23,6/24/2020 15:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200624_150000.jpg,307,347,337,0.06,
24,6/24/2020 18:00,0,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200624_180000.jpg,293,365,345,,
25,6/24/2020 21:00,0,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200624_210000.jpg,669,365,345,0.05,
26,6/25/2020 0:00,0,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200625_000000.jpg,675,365,345,,0.125454545
