datetime,ING Stage DCP-raw
2020-06-21 18:00:00,0.01
2020-06-21 21:00:00,
2020-06-22 00:00:00,
2020-06-22 03:00:00,0.18
2020-06-22 06:00:00,0.36
2020-06-22 09:00:00,0.35
2020-06-22 12:00:00,0.26
2020-06-22 15:00:00,0.18
2020-06-22 18:00:00,0.09
2020-06-22 21:00:00,
2020-06-23 00:00:00,
2020-06-23 03:00:00,0.06
2020-06-23 06:00:00,0.06
2020-06-23 09:00:00,0.06
2020-06-23 12:00:00,0.06
2020-06-23 15:00:00,
2020-06-23 18:00:00,0.06
2020-06-23 21:00:00,
2020-06-24 00:00:00,
2020-06-24 03:00:00,0.06
2020-06-24 06:00:00,0.07
2020-06-24 09:00:00,0.07
2020-06-24 12:00:00,0.06
2020-06-24 15:00:00,0.06
2020-06-24 18:00:00,
2020-06-24 21:00:00,0.05
2020-06-25 00:00:00,
2020-06-25 03:00:00,0.23
2020-06-25 06:00:00,
2020-06-25 09:00:00,0.36
2020-06-25 12:00:00,0.32
2020-06-25 15:00:00,0.23
2020-06-25 18:00:00,0.19
2020-06-25 21:00:00,0.3
2020-06-26 00:00:00,0.59
2020-06-26 03:00:00,
2020-06-26 06:00:00,
2020-06-26 09:00:00,0.64
2020-06-26 12:00:00,0.48
2020-06-26 15:00:00,0.34
2020-06-26 18:00:00,0.27
2020-06-26 21:00:00,0.39
2020-06-27 00:00:00,
2020-06-27 03:00:00,0.79
2020-06-27 06:00:00,0.76
2020-06-27 09:00:00,0.63
2020-06-27 12:00:00,
2020-06-27 15:00:00,
2020-06-27 18:00:00,
2020-06-27 21:00:00,0.43
2020-06-28 00:00:00,0.86
2020-06-28 03:00:00,1.09
2020-06-28 06:00:00,1.0
2020-06-28 09:00:00,
2020-06-28 12:00:00,
2020-06-28 15:00:00,
2020-06-28 18:00:00,0.36
2020-06-28 21:00:00,0.54
2020-06-29 00:00:00,0.97
2020-06-29 03:00:00,1.23
2020-06-29 06:00:00,1.16
2020-06-29 09:00:00,0.95
2020-06-29 12:00:00,0.72
2020-06-29 15:00:00,0.54
2020-06-29 18:00:00,0.49
2020-06-29 21:00:00,0.73
2020-06-30 00:00:00,
2020-06-30 03:00:00,
2020-06-30 06:00:00,1.3
2020-06-30 09:00:00,1.08
2020-06-30 12:00:00,0.92
2020-06-30 15:00:00,0.86
