,key_0,choice,path,maxsum,lineloc,ING Stage DCP-raw,stage_filtered
0,6/8/2021 0:00,0,C:///Users/sgoldst3/Inglefield/PyTrx/Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2021\INGLEFIELD_CAM_StarDot1_20210608_000000.jpg,289,430,,
1,6/8/2021 3:00,0,C:///Users/sgoldst3/Inglefield/PyTrx/Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2021\INGLEFIELD_CAM_StarDot1_20210608_030000.jpg,374,430,,
2,6/8/2021 6:00,0,C:///Users/sgoldst3/Inglefield/PyTrx/Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2021\INGLEFIELD_CAM_StarDot1_20210608_060000.jpg,375,425,,
3,6/8/2021 9:00,0,C:///Users/sgoldst3/Inglefield/PyTrx/Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2021\INGLEFIELD_CAM_StarDot1_20210608_090000.jpg,376,425,,
4,6/8/2021 12:00,0,C:///Users/sgoldst3/Inglefield/PyTrx/Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2021\INGLEFIELD_CAM_StarDot1_20210608_120000.jpg,375,430,,
5,6/8/2021 15:00,,,,,,
6,6/8/2021 18:00,0,C:///Users/sgoldst3/Inglefield/PyTrx/Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2021\INGLEFIELD_CAM_StarDot1_20210608_180000.jpg,221,430,,
7,6/8/2021 21:00,0,C:///Users/sgoldst3/Inglefield/PyTrx/Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2021\INGLEFIELD_CAM_StarDot1_20210608_210000.jpg,290,410,,
8,6/9/2021 0:00,0,C:///Users/sgoldst3/Inglefield/PyTrx/Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2021\INGLEFIELD_CAM_StarDot1_20210609_000000.jpg,290,415,,
9,6/9/2021 3:00,0,C:///Users/sgoldst3/Inglefield/PyTrx/Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2021\INGLEFIELD_CAM_StarDot1_20210609_030000.jpg,177,415,,
10,6/9/2021 6:00,2,C:///Users/sgoldst3/Inglefield/PyTrx/Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2021\INGLEFIELD_CAM_StarDot1_20210609_060000.jpg,368,408,,
11,6/9/2021 9:00,2,C:///Users/sgoldst3/Inglefield/PyTrx/Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2021\INGLEFIELD_CAM_StarDot1_20210609_090000.jpg,370,410,,
12,6/9/2021 12:00,2,C:///Users/sgoldst3/Inglefield/PyTrx/Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2021\INGLEFIELD_CAM_StarDot1_20210609_120000.jpg,370,410,,
13,6/9/2021 15:00,,,,,,
14,6/9/2021 18:00,0,C:///Users/sgoldst3/Inglefield/PyTrx/Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2021\INGLEFIELD_CAM_StarDot1_20210609_180000.jpg,221,405,,
15,6/9/2021 21:00,,,,,,
16,6/10/2021 0:00,,,,,,
17,6/10/2021 3:00,,,,,,
18,6/10/2021 6:00,,,,,,
19,6/10/2021 9:00,,,,,,
20,6/10/2021 12:00,,,,,,
21,6/10/2021 15:00,,,,,,
22,6/10/2021 18:00,,,,,,
23,6/10/2021 21:00,,,,,,
24,6/11/2021 0:00,,,,,,
25,6/11/2021 3:00,,,,,,
26,6/11/2021 6:00,,,,,,
27,6/11/2021 9:00,,,,,,
28,6/11/2021 12:00,,,,,,
29,6/11/2021 15:00,,,,,,
